"","SITE_ID","SITE_NAME","SURVEY_ID","EVENT_DATE","SURVEY_SPECIES_ID","SPECIES_ID","SPECIES_NAME","LATIN_NAME","SPECIES_RUN_ID","RUN_NUMBER","BULK_MEASURED_ID","BULK_LENGTH_START","BULK_LENGTH_END","BULK_FISH_COUNT","BULK_FISH_WEIGHT","AGE_BAND"
"235",34662,"Stoke Bardolph Net",160234,2021-09-21,709893,153,"Dace","Leuciscus leuciscus",941921,1,204347,,,231,,""
"236",34662,"Stoke Bardolph Net",160234,2021-09-21,709898,193,"Gudgeon","Gobio gobio",941926,1,204348,,,934,,""
"237",41974,"Farndon Net",160235,2021-09-21,709901,194,"Roach","Rutilus rutilus",941929,1,204349,,,42,,""
"238",41974,"Farndon Net",160235,2021-09-21,709904,153,"Dace","Leuciscus leuciscus",941932,1,204350,,,4,,""
"239",3614,"Ratcliffe on Soar",161079,2022-06-29,717181,213,"Pike","Esox lucius",951201,1,205822,,,1,,""
"240",3614,"Ratcliffe on Soar",161079,2022-06-29,717184,284,"Minnow","Phoxinus phoxinus",951204,1,205823,,,1000,,""
"241",3614,"Ratcliffe on Soar",161079,2022-06-29,717185,283,"Bullhead","Cottus gobio",951205,1,205824,,,50,,""
"242",3614,"Ratcliffe on Soar",161079,2022-06-29,717186,286,"Stone loach","Barbatula barbatula",951206,1,205825,,,50,,""
"243",3659,"Q.M.C.",161320,2022-07-29,718826,283,"Bullhead","Cottus gobio",953628,1,206281,,,500,,""
"244",3659,"Q.M.C.",161320,2022-07-29,718827,284,"Minnow","Phoxinus phoxinus",953630,1,206283,,,50,,""
"245",3659,"Q.M.C.",161320,2022-07-29,718828,286,"Stone loach","Barbatula barbatula",953632,1,206282,,,500,,""
"246",3659,"Q.M.C.",161320,2022-07-29,718829,281,"3-spined stickleback","Gasterosteus aculeatus",953634,1,206280,,,300,,""
"247",39786,"Sawley Weir Net",161581,2022-09-20,720214,153,"Dace","Leuciscus leuciscus",955422,1,206657,,,32,,""
"248",39786,"Sawley Weir Net",161581,2022-09-20,720215,193,"Gudgeon","Gobio gobio",955423,1,206658,,,52,,""
"249",39786,"Sawley Weir Net",161581,2022-09-20,720216,284,"Minnow","Phoxinus phoxinus",955424,1,206659,,,1,,""
